#,
#,"Australian Bureau of Meteorology"
#,"Short term streamflow forecasts"
#,
#,"hourly_barplot_ens"
#,
#,"Ovens River at Wangaratta (403242A)"
#,"Catchment area:", 5138.1,"km^2"
#,
#,"For more information see http://reg.bom.gov.au/water/stf"
#,
#,"Note: these forecasts are automatically generated from "
#,"computer models for the primary purpose of assisting "
#,"decisions in water management. Please see the "
#,"National flood forecasting and warning service "
#,"(http://www.bom.gov.au/australia/flood/) for all latest "
#,"flood forecasts and warnings."
#,
#,"These products are subject to the Bureau's copyright and "
#,"disclaimer policies."
#,"http://www.bom.gov.au/other/copyright.shtml"
#,"http://www.bom.gov.au/other/disclaimer.shtml"
#,
Time,Observed Rainfall (mm/hour),Forecast Rainfall Median (mm/hour),Observed Streamflow (ML/day),Forecast Streamflow 5th PCTL (ML/day),Forecast Streamflow 25th PCTL (ML/day),Forecast Streamflow Median (ML/day),Forecast Streamflow 75th PCTL (ML/day),Forecast Streamflow 95th PCTL (ML/day),Historical Reference 5th PCTL (ML/day),Historical Reference 25th PCTL (ML/day),Historical Reference 75th PCTL (ML/day),Historical Reference 95th PCTL (ML/day)
2022-12-08 04:00 AEDT,-,0.00,-,1207.44,2834.01,4949.08,8494.50,21819.63,62.40,530.60,2132.09,7752.72
2022-12-08 05:00 AEDT,-,0.00,-,1185.49,2797.89,4969.12,8520.25,21762.78,62.40,530.60,2132.09,7752.72
2022-12-08 06:00 AEDT,-,0.00,-,1155.86,2779.92,4931.71,8445.43,21497.27,62.40,530.60,2132.09,7752.72
2022-12-08 07:00 AEDT,-,0.00,-,1140.48,2773.44,4934.22,8359.11,21202.56,62.40,530.60,2132.09,7752.72
2022-12-08 08:00 AEDT,-,0.00,-,1123.20,2757.37,4921.43,8322.05,21056.46,62.40,530.60,2132.09,7752.72
2022-12-08 09:00 AEDT,-,0.00,-,1111.19,2701.56,4828.64,8206.27,21423.05,62.40,530.60,2132.09,7752.72
2022-12-08 10:00 AEDT,-,0.00,-,1102.55,2642.72,4794.68,8176.29,21593.43,62.40,530.60,2132.09,7752.72
2022-12-08 11:00 AEDT,-,0.00,-,1095.38,2585.00,4697.57,8032.18,21623.07,62.40,530.60,2132.09,7752.72
2022-12-08 12:00 AEDT,-,0.00,-,1092.70,2571.87,4706.29,7991.05,21236.52,62.40,530.60,2132.09,7752.72
2022-12-08 13:00 AEDT,-,0.00,-,1101.95,2542.75,4705.78,8004.96,20997.45,62.40,530.60,2132.09,7752.72
2022-12-08 14:00 AEDT,-,0.00,-,1077.93,2534.89,4651.86,7963.57,20719.67,62.40,530.60,2132.09,7752.72
2022-12-08 15:00 AEDT,-,0.00,-,1068.34,2549.49,4617.22,7907.33,21229.69,62.40,530.60,2132.09,7752.72
2022-12-08 16:00 AEDT,-,0.00,-,1062.37,2545.78,4591.21,7801.23,21164.54,62.40,530.60,2132.09,7752.72
2022-12-08 17:00 AEDT,-,0.00,-,1049.76,2531.95,4583.95,7859.03,20887.03,62.40,530.60,2132.09,7752.72
2022-12-08 18:00 AEDT,-,0.00,-,1034.90,2477.35,4551.38,7883.91,20965.65,62.40,530.60,2132.09,7752.72
2022-12-08 19:00 AEDT,-,0.00,-,1019.43,2509.92,4493.75,7920.46,20815.75,62.40,530.60,2132.09,7752.72
2022-12-08 20:00 AEDT,-,0.00,-,1013.73,2473.63,4531.77,8041.33,20581.52,62.40,530.60,2132.09,7752.72
2022-12-08 21:00 AEDT,-,0.00,-,1001.81,2473.03,4440.27,7940.07,20514.13,62.40,530.60,2132.09,7752.72
2022-12-08 22:00 AEDT,-,0.00,-,987.03,2474.50,4413.92,7838.81,20693.84,62.40,530.60,2132.09,7752.72
2022-12-08 23:00 AEDT,-,0.00,-,982.89,2451.86,4338.14,7717.08,21063.54,62.40,530.60,2132.09,7752.72
2022-12-09 00:00 AEDT,-,0.00,-,977.79,2418.25,4259.43,7701.35,20930.05,62.40,530.60,2132.09,7752.72
2022-12-09 01:00 AEDT,-,0.00,-,968.28,2396.82,4326.31,7622.81,21085.14,62.40,530.60,2132.09,7752.72
2022-12-09 02:00 AEDT,-,0.00,-,970.01,2369.00,4280.43,7571.58,20808.92,62.40,530.60,2132.09,7752.72
2022-12-09 03:00 AEDT,-,0.00,-,951.44,2367.53,4307.73,7441.03,20511.27,62.40,530.60,2132.09,7752.72
2022-12-09 04:00 AEDT,-,0.00,-,933.55,2361.92,4245.18,7355.06,20405.69,62.40,530.60,2132.09,7752.72
2022-12-09 05:00 AEDT,-,0.00,-,929.32,2321.74,4264.36,7472.74,19926.52,62.40,530.60,2132.09,7752.72
2022-12-09 06:00 AEDT,-,0.00,-,953.60,2321.74,4211.91,7500.30,19577.12,62.40,530.60,2132.09,7752.72
2022-12-09 07:00 AEDT,-,0.00,-,958.26,2345.33,4179.51,7351.34,19474.04,62.40,530.60,2132.09,7752.72
2022-12-09 08:00 AEDT,-,0.00,-,973.30,2350.34,4178.65,7358.34,19128.53,62.40,530.60,2132.09,7752.72
2022-12-09 09:00 AEDT,-,0.00,-,967.16,2350.86,4190.14,7361.19,19215.71,62.40,530.60,2132.09,7752.72
2022-12-09 10:00 AEDT,-,0.00,-,988.33,2295.48,4132.25,7465.13,19004.11,62.40,530.60,2132.09,7752.72
2022-12-09 11:00 AEDT,-,0.00,-,997.40,2279.75,4118.43,7428.50,18888.94,62.40,530.60,2132.09,7752.72
2022-12-09 12:00 AEDT,-,0.00,-,1010.28,2298.33,4098.99,7396.36,19068.22,62.40,530.60,2132.09,7752.72
2022-12-09 13:00 AEDT,-,0.00,-,1007.08,2280.53,4010.34,7358.86,19038.15,62.40,530.60,2132.09,7752.72
2022-12-09 14:00 AEDT,-,0.00,-,986.95,2266.79,3978.46,7330.69,19704.90,62.40,530.60,2132.09,7752.72
2022-12-09 15:00 AEDT,-,0.00,-,1013.82,2235.51,4020.02,7373.20,19879.95,62.40,530.60,2132.09,7752.72
2022-12-09 16:00 AEDT,-,0.00,-,1014.85,2232.14,4057.69,7283.17,19874.59,62.40,530.60,2132.09,7752.72
2022-12-09 17:00 AEDT,-,0.00,-,1012.61,2218.58,4058.73,7223.56,19589.39,62.40,530.60,2132.09,7752.72
2022-12-09 18:00 AEDT,-,0.00,-,1006.82,2191.45,4046.03,7169.56,19342.02,62.40,530.60,2132.09,7752.72
2022-12-09 19:00 AEDT,-,0.00,-,998.27,2224.97,4056.91,7225.20,18982.68,62.40,530.60,2132.09,7752.72
2022-12-09 20:00 AEDT,-,0.00,-,1005.35,2186.18,4048.19,7276.78,18707.93,62.40,530.60,2132.09,7752.72
2022-12-09 21:00 AEDT,-,0.00,-,1016.50,2190.33,3978.12,7418.82,18843.67,62.40,530.60,2132.09,7752.72
2022-12-09 22:00 AEDT,-,0.00,-,1027.12,2163.46,4008.10,7390.31,18477.76,62.40,530.60,2132.09,7752.72
2022-12-09 23:00 AEDT,-,0.00,-,1032.39,2149.03,3958.59,7318.43,18185.30,62.40,530.60,2132.09,7752.72
2022-12-10 00:00 AEDT,-,0.00,-,1016.24,2114.90,3901.48,7311.34,18521.31,62.40,530.60,2132.09,7752.72
2022-12-10 01:00 AEDT,-,0.00,-,1014.08,2113.26,3880.14,7236.35,18991.41,62.40,530.60,2132.09,7752.72
2022-12-10 02:00 AEDT,-,0.00,-,993.86,2089.50,3891.37,7197.72,19291.74,62.40,530.60,2132.09,7752.72
2022-12-10 03:00 AEDT,-,0.00,-,979.95,2052.26,3868.13,7152.45,19573.66,62.40,530.60,2132.09,7752.72
2022-12-10 04:00 AEDT,-,0.00,-,968.11,2022.45,3846.96,7158.59,19362.41,62.40,530.60,2132.09,7752.72
2022-12-10 05:00 AEDT,-,0.00,-,953.68,2017.70,3807.99,7102.77,19073.75,62.40,530.60,2132.09,7752.72
2022-12-10 06:00 AEDT,-,0.00,-,935.88,2018.13,3794.00,7128.61,18841.85,62.40,530.60,2132.09,7752.72
2022-12-10 07:00 AEDT,-,0.00,-,918.17,2028.07,3738.79,7088.17,18634.41,62.40,530.60,2132.09,7752.72
2022-12-10 08:00 AEDT,-,0.00,-,888.80,2042.58,3709.58,7101.82,18487.79,62.40,530.60,2132.09,7752.72
2022-12-10 09:00 AEDT,-,0.00,-,879.12,2012.26,3677.62,7086.01,18186.85,62.40,530.60,2132.09,7752.72
2022-12-10 10:00 AEDT,-,0.00,-,871.69,2012.34,3664.74,7058.88,18275.67,62.40,530.60,2132.09,7752.72
